Movie_ID,Title,Weighted_Rating,Director(s),Cast,Genres
0,Soorarai Pottru,8.97857647293461,['Sudha Kongara'],"['Suriya', 'Madhavan', 'Paresh Rawal']",['Drama']
1,3 Idiots,8.377178719880975,['Rajkumar Hirani'],"['Aamir Khan', 'Madhavan', 'Mona Singh']","['Comedy, Drama']"
2,Like Stars on Earth,8.353963967436648,['Aamir Khan'],"['Amole Gupte', 'Darsheel Safary', 'Aamir Khan']","['Drama, Family']"
3,Dangal,8.351026537556507,['Nitesh Tiwari'],"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh']","['Action, Biography, Drama']"
4,Black Friday,8.12257670156383,['Anurag Kashyap'],"['Kay Kay Menon', 'Pawan Malhotra', 'Aditya Srivastav']","['Action, Crime, Drama']"
5,Gangs of Wasseypur,8.11508017305511,['Anurag Kashyap'],"['Manoj Bajpayee', 'Richa Chadha', 'Nawazuddin Siddiqui']","['Action, Comedy, Crime']"
6,Swades,8.114106485745397,['Ashutosh Gowariker'],"['Shah Rukh Khan', 'Gayatri Joshi', 'Kishori Ballal']",['Drama']
7,Chhichhore,8.110318649048372,['Nitesh Tiwari'],"['Sushant Singh Rajput', 'Shraddha Kapoor', 'Varun Sharma']","['Comedy, Drama']"
8,Andhadhun,8.106226230200956,['Sriram Raghavan'],"['Ayushmann Khurrana', 'Tabu', 'Radhika Apte']","['Crime, Drama, Music']"
9,Chak De! India,8.103719592758925,['Shimit Amin'],"['Shah Rukh Khan', 'Vidya Malvade', 'Sagarika Ghatge']","['Drama, Family, Sport']"
10,Hanky Panky,8.10302181590857,['Hrishikesh Mukherjee'],"['Amol Palekar', 'Bindiya Goswami', 'Deven Verma']","['Comedy, Romance']"
11,Drishyam,8.101901033648927,['Nishikant Kamat'],"['Ajay Devgn', 'Shriya Saran', 'Tabu']","['Crime, Drama, Mystery']"
12,Zindagi Na Milegi Dobara,8.096588283022829,['Zoya Akhtar'],"['Hrithik Roshan', 'Farhan Akhtar', 'Abhay Deol']","['Comedy, Drama']"
13,Bhaag Milkha Bhaag,8.084477817572024,['Rakeysh Omprakash Mehra'],"['Farhan Akhtar', 'Sonam Kapoor', 'Pawan Malhotra']","['Biography, Drama, Sport']"
14,Queen,8.083085190059355,['Vikas Bahl'],"['Kangana Ranaut', 'Rajkummar Rao', 'Lisa Haydon']","['Adventure, Comedy, Drama']"
15,Tumbbad,8.080576270243977,['Rahi Anil Barve'],"['Anand Gandhi', 'Adesh Prasad', 'Sohum Shah']","['Drama, Fantasy, Horror']"
16,Hera Pheri,8.078785309678647,['Priyadarshan'],"['Akshay Kumar', 'Sunil Shetty', 'Paresh Rawal']","['Action, Comedy, Crime']"
17,Anand,8.07443463754143,['Hrishikesh Mukherjee'],"['Rajesh Khanna', 'Amitabh Bachchan', 'Sumita Sanyal']","['Drama, Musical']"
18,Sholay,8.063476198057439,['Ramesh Sippy'],"['Sanjeev Kumar', 'Dharmendra', 'Amitabh Bachchan']","['Action, Adventure, Comedy']"
19,PK,8.057478960707437,['Rajkumar Hirani'],"['Aamir Khan', 'Anushka Sharma', 'Sanjay Dutt']","['Comedy, Drama, Musical']"
20,Uri: The Surgical Strike,8.045342965610768,['Aditya Dhar'],"['Vicky Kaushal', 'Paresh Rawal', 'Mohit Raina']","['Action, Drama, War']"
21,Rang De Basanti,8.038065790184142,['Rakeysh Omprakash Mehra'],"['Aamir Khan', 'Soha Ali Khan', 'Siddharth']","['Comedy, Crime, Drama']"
22,Lagaan: Once Upon a Time in India,8.034020489861527,['Ashutosh Gowariker'],"['Aamir Khan', 'Raghuvir Yadav', 'Gracy Singh']","['Drama, Musical, Sport']"
23,Barfi!,8.00956725401833,['Anurag Basu'],"['Ranbir Kapoor', 'Priyanka Chopra Jonas', ""Ileana D'Cruz""]","['Comedy, Drama, Romance']"
24,Munna Bhai M.B.B.S.,8.007776821670381,['Rajkumar Hirani'],"['Sanjay Dutt', 'Arshad Warsi', 'Gracy Singh']","['Comedy, Drama']"
25,A Wednesday,8.0069582473125,['Neeraj Pandey'],"['Anupam Kher', 'Naseeruddin Shah', 'Jimmy Sheirgill']","['Action, Crime, Drama']"
26,Dil Chahta Hai,7.997852481208051,['Farhan Akhtar'],"['Aamir Khan', 'Saif Ali Khan', 'Akshaye Khanna']","['Comedy, Drama, Romance']"
27,Paan Singh Tomar,7.996391298899988,['Tigmanshu Dhulia'],"['Irrfan Khan', 'Mahie Gill', 'Rajesh Abhay']","['Action, Biography, Crime']"
28,Black,7.994303705055099,['Sanjay Leela Bhansali'],"['Amitabh Bachchan', 'Rani Mukerji', 'Shernaz Patel']",['Drama']
29,Khosla Ka Ghosla!,7.994207382372019,['Dibakar Banerjee'],"['Anupam Kher', 'Boman Irani', 'Parvin Dabas']","['Comedy, Crime, Drama']"
30,Dilwale Dulhania Le Jayenge,7.993360896454484,['Aditya Chopra'],"['Shah Rukh Khan', 'Kajol', 'Amrish Puri']","['Drama, Romance']"
31,Talvar,7.985790951264547,['Meghna Gulzar'],"['Irrfan Khan', 'Konkona Sen Sharma', 'Neeraj Kabi']","['Crime, Drama, Mystery']"
32,Kahaani,7.982954473955925,['Sujoy Ghosh'],"['Vidya Balan', 'Parambrata Chattopadhyay', 'Indraneil Sengupta']","['Mystery, Thriller']"
33,Vada Chennai,7.9750373876421525,['Vetrimaaran'],"['Dhanush', 'Ameer Sultan', 'Radha Ravi']","['Action, Crime, Drama']"
34,OMG: Oh My God!,7.971369143208602,['Umesh Shukla'],"['Paresh Rawal', 'Akshay Kumar', 'Mithun Chakraborty']","['Comedy, Drama, Fantasy']"
35,Lion,7.968857014749934,['Garth Davis'],"['Dev Patel', 'Nicole Kidman', 'Rooney Mara']","['Biography, Drama']"
36,Gandhi,7.968800112435693,['Richard Attenborough'],"['Ben Kingsley', 'John Gielgud', 'Rohini Hattangadi']","['Biography, Drama, History']"
37,Haider,7.966416078416471,['Vishal Bhardwaj'],"['Shahid Kapoor', 'Tabu', 'Shraddha Kapoor']","['Action, Crime, Drama']"
38,Andaz Apna Apna,7.965070167132923,['Rajkumar Santoshi'],"['Aamir Khan', 'Salman Khan', 'Raveena Tandon']","['Action, Comedy, Romance']"
39,Udaan,7.942928966406965,['Vikramaditya Motwane'],"['Rajat Barmecha', 'Ronit Roy', 'Manjot Singh']",['Drama']
40,Article 15,7.936800536780259,['Anubhav Sinha'],"['Ayushmann Khurrana', 'Nassar', 'Manoj Pahwa']","['Crime, Drama, Mystery']"
41,Pink,7.934935891802167,['Aniruddha Roy Chowdhury'],"['Taapsee Pannu', 'Amitabh Bachchan', 'Kirti Kulhari']","['Crime, Drama, Thriller']"
42,My Name Is Khan,7.93313656190339,['Karan Johar'],"['Shah Rukh Khan', 'Kajol', 'Sheetal Menon']",['Drama']
43,Masaan,7.929246517524588,['Neeraj Ghaywan'],"['Richa Chadha', 'Sanjay Mishra', 'Vicky Kaushal']",['Drama']
44,Vishwaroopam,7.927693994853261,['Kamal Haasan'],"['Pooja Kumar', 'Miles Anderson', 'Kamal Haasan']","['Action, Thriller']"
45,Bajrangi Bhaijaan,7.914652870751043,['Kabir Khan'],"['Salman Khan', 'Harshaali Malhotra', 'Nawazuddin Siddiqui']","['Action, Adventure, Comedy']"
46,Jaane Bhi Do Yaaro,7.905035291357544,['Kundan Shah'],"['Naseeruddin Shah', 'Ravi Baswani', 'Bhakti Barve']","['Comedy, Crime, Drama']"
47,Jo Jeeta Wohi Sikandar,7.899819463440094,['Mansoor Khan'],"['Aamir Khan', 'Ayesha Jhulka', 'Deepak Tijori']","['Comedy, Drama, Romance']"
48,Life of Pi,7.88881824068082,['Ang Lee'],"['Suraj Sharma', 'Irrfan Khan', 'Adil Hussain']","['Adventure, Drama, Fantasy']"
49,Baby,7.878157132611132,['Neeraj Pandey'],"['Akshay Kumar', 'Danny Denzongpa', 'Rana Daggubati']","['Action, Thriller']"
50,Airlift,7.877943672413428,['Raja Menon'],"['Akshay Kumar', 'Nimrat Kaur', 'Kumud Mishra']","['Drama, History']"
51,Special 26,7.874552541229187,['Neeraj Pandey'],"['Akshay Kumar', 'Anupam Kher', 'Manoj Bajpayee']","['Crime, Drama, Thriller']"
52,Lage Raho Munna Bhai,7.852622475604231,['Rajkumar Hirani'],"['Sanjay Dutt', 'Arshad Warsi', 'Vidya Balan']","['Comedy, Drama, Romance']"
53,Sarfarosh,7.836393988724902,['John Mathew Matthan'],"['Aamir Khan', 'Naseeruddin Shah', 'Sonali Bendre']","['Action, Drama']"
54,Gully Boy,7.8121297120041655,['Zoya Akhtar'],"['Vijay Varma', 'Nakul Roshan Sahdev', 'Ranveer Singh']","['Drama, Music, Romance']"
55,Kal Ho Naa Ho,7.802447616048021,['Nikkhil Advani'],"['Preity Zinta', 'Shah Rukh Khan', 'Saif Ali Khan']","['Comedy, Drama, Musical']"
56,Shahid,7.7964556136584555,['Hansal Mehta'],"['Rajkummar Rao', 'Prabhleen Sandhu', 'Mohd. Zeeshan Ayyub']","['Biography, Drama']"
57,Badhaai Ho,7.786948892140316,['Amit Ravindernath Sharma'],"['Ayushmann Khurrana', 'Neena Gupta', 'Gajraj Rao']","['Comedy, Drama']"
58,Dev.D,7.785406750682755,['Anurag Kashyap'],"['Abhay Deol', 'Mahie Gill', 'Kalki Koechlin']","['Drama, Romance']"
59,Sachin - A Billion Dreams,7.785167573320047,['James Erskine'],"['Sachin Tendulkar', 'Mikhail Gandhi', 'Anjali Tendulkar']","['Documentary, Sport']"
60,Omkara,7.780666042500022,['Vishal Bhardwaj'],"['Ajay Devgn', 'Kareena Kapoor', 'Saif Ali Khan']","['Action, Crime, Drama']"
61,Chupke Chupke,7.7755802055482475,['Hrishikesh Mukherjee'],"['Dharmendra', 'Sharmila Tagore', 'Amitabh Bachchan']","['Comedy, Drama, Romance']"
62,Jab We Met,7.772618340623151,['Imtiaz Ali'],"['Shahid Kapoor', 'Kareena Kapoor', 'Tarun Arora']","['Comedy, Drama, Romance']"
63,M.S. Dhoni: The Untold Story,7.758224856053328,['Neeraj Pandey'],"['Sushant Singh Rajput', 'Kiara Advani', 'Anupam Kher']","['Biography, Drama, Sport']"
64,Satya,7.7553717656375545,['Ram Gopal Varma'],"['J.D. Chakravarthi', 'Manoj Bajpayee', 'Urmila Matondkar']","['Action, Crime, Drama']"
65,Super 30,7.73391171440105,['Vikas Bahl'],"['Hrithik Roshan', 'Mrunal Thakur', 'Nandish Singh']","['Biography, Drama']"
66,Iqbal,7.723849102225397,['Nagesh Kukunoor'],"['Shreyas Talpade', 'Naseeruddin Shah', 'Shweta Basu Prasad']","['Drama, Sport']"
67,Ugly,7.7083964451128315,['Anurag Kashyap'],"['Rahul Bhatt', 'Ronit Roy', 'Tejaswini Kolhapure']","['Crime, Drama, Mystery']"
68,The Legend of Bhagat Singh,7.704769028584284,['Rajkumar Santoshi'],"['Ajay Devgn', 'Sushant Singh', 'D. Santosh']","['Action, Biography, Drama']"
69,The Lunchbox,7.685532531331834,['Ritesh Batra'],"['Irrfan Khan', 'Nimrat Kaur', 'Nawazuddin Siddiqui']","['Drama, Romance']"
70,Gulaal,7.681833613267856,['Anurag Kashyap'],"['Kay Kay Menon', 'Raj Singh Chaudhary', 'Raja Chaudhary']","['Crime, Drama, Thriller']"
71,Veer-Zaara,7.681195202058994,['Yash Chopra'],"['Shah Rukh Khan', 'Preity Zinta', 'Rani Mukerji']","['Drama, Family, Musical']"
72,Manjhi: The Mountain Man,7.674287258331795,['Ketan Mehta'],"['Nawazuddin Siddiqui', 'Radhika Apte', 'Ashutosh Acharya']","['Adventure, Biography, Drama']"
73,Hindi Medium,7.661344741787769,['Saket Chaudhary'],"['Irrfan Khan', 'Saba Qamar', 'Dishita Sehgal']","['Comedy, Drama']"
74,Vicky Donor,7.655377925723838,['Shoojit Sircar'],"['Ayushmann Khurrana', 'Yami Gautam', 'Annu Kapoor']","['Comedy, Romance']"
75,Section 375,7.6510661901411305,['Ajay Bahl'],"['Akshaye Khanna', 'Richa Chadha', 'Rahul Bhatt']","['Crime, Drama, Mystery']"
76,Pad Man,7.642238553572406,['R. Balki'],"['Akshay Kumar', 'Radhika Apte', 'Sonam Kapoor']","['Comedy, Drama']"
77,Guide,7.637865410056628,['Vijay Anand'],"['Dev Anand', 'Waheeda Rehman', 'Leela Chitnis']","['Drama, Musical, Romance']"
78,English Vinglish,7.631063197409025,['Gauri Shinde'],"['Sridevi', 'Adil Hussain', 'Mehdi Nebbou']","['Comedy, Drama, Family']"
79,Lakshya,7.63002395863837,['Farhan Akhtar'],"['Hrithik Roshan', 'Preity Zinta', 'Amitabh Bachchan']","['Action, Drama, Romance']"
80,Kai Po Che,7.629969649591905,['Abhishek Kapoor'],"['Amit Sadh', 'Sushant Singh Rajput', 'Rajkummar Rao']","['Drama, Sport']"
81,Udta Punjab,7.5970569272812485,['Abhishek Chaubey'],"['Shahid Kapoor', 'Alia Bhatt', 'Kareena Kapoor']","['Action, Crime, Drama']"
82,Raazi,7.587141753233578,['Meghna Gulzar'],"['Alia Bhatt', 'Vicky Kaushal', 'Rajit Kapoor']","['Action, Drama, Thriller']"
83,Sanju,7.585225755976612,['Rajkumar Hirani'],"['Ranbir Kapoor', 'Paresh Rawal', 'Manisha Koirala']","['Biography, Comedy, Drama']"
84,Vaastav: The Reality,7.5693796875554735,['Mahesh Manjrekar'],"['Sanjay Dutt', 'Namrata Shirodkar', 'Reema Lagoo']","['Action, Crime, Drama']"
85,Badla,7.566172705066366,['Sujoy Ghosh'],"['Amitabh Bachchan', 'Taapsee Pannu', 'Amrita Singh']","['Crime, Drama, Mystery']"
86,Rockstar,7.563417087752738,['Imtiaz Ali'],"['Ranbir Kapoor', 'Nargis Fakhri', 'Shammi Kapoor']","['Drama, Music, Romance']"
87,Deewaar,7.562100800138163,['Yash Chopra'],"['Amitabh Bachchan', 'Shashi Kapoor', 'Nirupa Roy']","['Action, Crime, Drama']"
88,Darr,7.554806433791721,['Yash Chopra'],"['Juhi Chawla', 'Sunny Deol', 'Shah Rukh Khan']","['Action, Drama, Romance']"
89,Maqbool,7.548375245287786,['Vishal Bhardwaj'],"['Irrfan Khan', 'Tabu', 'Pankaj Kapur']","['Crime, Drama, Thriller']"
90,Secret Superstar,7.547852776717475,['Advait Chandan'],"['Zaira Wasim', 'Meher Vij', 'Raj Arjun']","['Drama, Music']"
91,Company,7.530175216626596,['Ram Gopal Varma'],"['Ajay Devgn', 'Mohanlal', 'Manisha Koirala']","['Action, Crime, Drama']"
92,Sonchiriya,7.528827119537688,['Abhishek Chaubey'],"['Sushant Singh Rajput', 'Bhumi Pednekar', 'Ashutosh Rana']","['Action, Crime, Drama']"
93,Border,7.521845592739766,['J.P. Dutta'],"['Sunny Deol', 'Sunil Shetty', 'Akshaye Khanna']","['Action, Drama, History']"
94,Hotel Mumbai,7.503871071129955,['Anthony Maras'],"['Dev Patel', 'Armie Hammer', 'Nazanin Boniadi']","['Action, Drama, History']"
95,Baazigar,7.498020789796085,['Abbas Alibhai Burmawalla'],"['Mastan Alibhai Burmawalla', 'Shah Rukh Khan', 'Kajol']","['Crime, Drama, Musical']"
96,Ankhon Dekhi,7.497184378278658,['Rajat Kapoor'],"['Sanjay Mishra', 'Seema Bhargava', 'Rajat Kapoor']","['Comedy, Drama']"
97,Kabhi Haan Kabhi Naa,7.4949198322397335,['Kundan Shah'],"['Shah Rukh Khan', 'Suchitra Krishnamoorthi', 'Deepak Tijori']","['Comedy, Drama, Music']"
98,Kuch Kuch Hota Hai,7.491556731409664,['Karan Johar'],"['Shah Rukh Khan', 'Kajol', 'Rani Mukerji']","['Comedy, Drama, Musical']"
99,Pyaasa,7.485030594054038,['Guru Dutt'],"['Guru Dutt', 'Waheeda Rehman', 'Mala Sinha']","['Drama, Musical, Romance']"
100,Kapoor & Sons,7.4787548723956165,['Shakun Batra'],"['Rishi Kapoor', 'Rajat Kapoor', 'Ratna Pathak Shah']","['Comedy, Drama, Family']"
101,Madras Cafe,7.473733935508066,['Shoojit Sircar'],"['John Abraham', 'Nargis Fakhri', 'Raashi Khanna']","['Action, Drama, Thriller']"
102,Gangaajal,7.472931248778927,['Prakash Jha'],"['Ajay Devgn', 'Gracy Singh', 'Mohan Joshi']","['Action, Crime, Drama']"
103,Devdas,7.46683000537917,['Sanjay Leela Bhansali'],"['Shah Rukh Khan', 'Aishwarya Rai Bachchan', 'Madhuri Dixit']","['Drama, Musical, Romance']"
104,Guru,7.465691710361366,['Mani Ratnam'],"['Mithun Chakraborty', 'Abhishek Bachchan', 'Aishwarya Rai Bachchan']",['Drama']
105,Hey Ram,7.458312818592515,['Kamal Haasan'],"['Kamal Haasan', 'Shah Rukh Khan', 'Rani Mukerji']","['Crime, Drama, History']"
106,Rock On!!,7.453207271775315,['Abhishek Kapoor'],"['Arjun Rampal', 'Farhan Akhtar', 'Luke Kenny']","['Drama, Music']"
107,Detective Byomkesh Bakshy!,7.452485890307957,['Dibakar Banerjee'],"['Sushant Singh Rajput', 'Anand Tiwari', 'Neeraj Kabi']","['Action, Crime, Drama']"
108,Nayak: The Real Hero,7.450677744993143,['S. Shankar'],"['Anil Kapoor', 'Rani Mukerji', 'Amrish Puri']","['Action, Drama, Thriller']"
109,Nil Battey Sannata,7.4437615005556985,['Ashwiny Iyer Tiwari'],"['Swara Bhaskar', 'Ratna Pathak Shah', 'Riya Shukla']","['Drama, Family']"
110,Mr. India,7.441010611775686,['Shekhar Kapur'],"['Anil Kapoor', 'Sridevi', 'Amrish Puri']","['Action, Comedy, Drama']"
111,Ludo,7.439998342798447,['Anurag Basu'],"['Pankaj Tripathi', 'Abhishek Bachchan', 'Rajkummar Rao']","['Action, Comedy, Crime']"
